Nc3 c5 d4 cxd4 Qxd4 Nc6 Qh4 Nf6 Nf3 d5 
Nf3 Nf6 c4 e6 Nc3 Bb4 d4 c5 g3 Nc6 
Nf3 Nf6 c4 e6 Nc3 Bb4 d4 d6 Qc2 Nbd7 
Nf3 Nf6 c4 e6 Nc3 Bb4 g3 O-O Bg2 d5 
Nf3 Nf6 c4 e6 Nc3 Bb4 g3 b6 Bg2 Bb7 
Nf3 Nf6 c4 e6 Nc3 Bb4 g4 O-O g5 Ne8 
Nf3 Nf6 c4 e6 Nc3 b6 g3 Bb4 Bg2 Bb7 
Nf3 Nf6 c4 e6 Nc3 b6 g3 Bb7 Bg2 c5 
Nf3 Nf6 c4 e6 Nc3 b6 g3 c5 Bg2 Bb7 
Nf3 Nf6 c4 e6 Nc3 c5 g3 b6 Bg2 Bb7 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Bb4 Qa4+ Nc6 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Bb4 a3 Bxc3+ 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Bb4 e3 O-O 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bf4 O-O 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bg5 Nbd7 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Be7 Bg5 h6 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Nbd7 Qc2 Be7 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Nbd7 Qc2 dxc4 
Nf3 Nf6 c4 e6 Nc3 d5 d4 Nbd7 cxd5 exd5 
Nf3 Nf6 c4 e6 Nc3 d5 d4 c5 Bg5 cxd4 
Nf3 Nf6 c4 e6 Nc3 d5 d4 c5 cxd5 Nxd5 
Nf3 Nf6 c4 e6 Nc3 d5 d4 c5 cxd5 exd5 
Nf3 Nf6 c4 e6 Nc3 d5 d4 c6 Bg5 h6 
Nf3 Nf6 c4 e6 Nc3 d5 d4 c6 e3 a6 
Nf3 Nf6 c4 e6 Nc3 d5 d4 dxc4 e4 Bb4 
Nf3 Nf6 c4 e6 b3 c5 Bb2 Nc6 e3 d5 
Nf3 Nf6 c4 e6 d4 b6 a3 Ba6 Nbd2 Bb7 
Nf3 Nf6 c4 e6 d4 b6 a3 Ba6 Qc2 c5 
Nf3 Nf6 c4 e6 d4 b6 g3 Ba6 Nbd2 Bb4 
Nf3 Nf6 c4 e6 d4 b6 g3 Ba6 Qb3 Nc6 
Nf3 Nf6 c4 e6 d4 b6 g3 Bb7 Bg2 Be7 
Nf3 Nf6 c4 e6 d4 b6 g3 Bb7 Bg2 d5 
Nf3 Nf6 c4 e6 d4 d5 Nc3 Be7 Bg5 h6 
Nf3 Nf6 c4 e6 d4 d5 Nc3 Nbd7 Bf4 dxc4 
Nf3 Nf6 c4 e6 d4 d5 Nc3 c6 Bg5 Nbd7 
Nf3 Nf6 c4 e6 d4 d5 Nc3 c6 e3 Nbd7 
Nf3 Nf6 c4 e6 g3 a6 d3 c5 Bg2 b5 
Nf3 Nf6 c4 e6 g3 b6 Bg2 Bb7 d4 Bb4+ 
Nf3 Nf6 c4 e6 g3 d5 Bg2 Be7 O-O O-O 
Nf3 Nf6 c4 e6 g3 d5 Bg2 Be7 d4 O-O 
Nf3 Nf6 c4 e6 g3 d5 Bg2 Nbd7 b3 Bd6 
Nf3 Nf6 c4 e6 g3 d5 Bg2 dxc4 Qa4+ Nbd7 
Nf3 Nf6 c4 e6 g3 d5 Bg2 dxc4 Qa4+ c6 
Nf3 Nf6 c4 e6 g3 d5 Qc2 c5 d4 cxd4 
Nf3 Nf6 c4 e6 g3 d5 b3 c5 Bg2 Nc6 
Nf3 Nf6 c4 e6 g3 d5 d4 Be7 Bg2 O-O 
Nf3 Nf6 c4 e6 g3 d5 d4 a6 Bg2 dxc4 
Nf3 Nf6 c4 g6 Nc3 Bg7 d4 O-O e4 d6 
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 O-O d4 d6 
Nf3 Nf6 c4 g6 Nc3 Bg7 e4 d6 d4 O-O 
Nf3 Nf6 c4 g6 Nc3 Bg7 g3 O-O Bg2 d5 
Nf3 Nf6 c4 g6 Nc3 d5 Qa4+ Bd7 Qb3 dxc4 
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qa4+ Bd7 
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qa4+ c6 
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qb3 Nb6 
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 
Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 
Nf3 Nf6 c4 g6 d4 Bg7 g3 d5 cxd5 Nxd5 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O Nc6 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O c6 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O d5 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O O-O d6 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 O-O d4 d5 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 d5 cxd5 Nxd5 
Nf3 Nf6 c4 g6 g3 Bg7 Bg2 d5 d4 c6 
Nf3 Nf6 c4 g6 g3 c6 Bg2 Bg7 O-O O-O 
Nf3 Nf6 d4 b6 Bg5 Ne4 Bh4 Bb7 e3 h6 
Nf3 Nf6 d4 b6 g3 Bb7 Bg2 c5 c4 cxd4 
Nf3 Nf6 d4 d5 c3 Bf5 Qb3 Qc8 Bg5 Nbd7 
Nf3 Nf6 d4 d5 c4 e6 g3 c6 Bg2 Bd6 
Nf3 Nf6 d4 e6 c4 d5 Nc3 Be7 Bf4 O-O 
Nf3 Nf6 d4 e6 g3 b5 Bg2 Bb7 Bg5 Be7 
Nf3 Nf6 d4 e6 g3 b6 Bg2 Bb7 c4 Be7 
Nf3 Nf6 d4 e6 g3 d5 c4 Bb4+ Nc3 dxc4 
Nf3 Nf6 d4 g6 Bf4 c5 c3 b6 Nbd2 cxd4 
Nf3 Nf6 d4 g6 c4 Bg7 Nc3 d5 Qb3 dxc4 
Nf3 Nf6 e3 g6 b3 Bg7 Bb2 O-O c4 b6 
Nf3 Nf6 g3 c5 Bg2 g6 d4 cxd4 Nxd4 Nc6 
Nf3 Nf6 g3 d5 Bg2 c5 O-O Nc6 d3 g6 
Nf3 Nf6 g3 d5 Bg2 c5 O-O Nc6 d4 e6 
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 e6 
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bf5 d3 h6 
Nf3 Nf6 g3 d5 Bg2 c6 O-O Bg4 d3 Nbd7 
Nf3 Nf6 g3 d5 Bg2 c6 O-O g6 d3 Bg7 
Nf3 Nf6 g3 d5 Bg2 c6 O-O h6 c4 dxc4 
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 d3 c5 
Nf3 Nf6 g3 d5 Bg2 e6 O-O Be7 d4 O-O 
Nf3 Nf6 g3 d5 Bg2 e6 d4 Be7 c4 O-O 
Nf3 Nf6 g3 d5 d4 c6 Bg2 Bf5 O-O Nbd7 
Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d4 d6 
Nf3 Nf6 g3 g6 Bg2 Bg7 c4 O-O O-O c6 
Nf3 Nf6 g3 g6 Bg2 Bg7 c4 c6 d4 d5 
Nf3 Nf6 g3 g6 b3 Bg7 Bb2 d6 d4 c5 
Nf3 Nf6 g3 g6 c4 Bg7 Bg2 O-O d4 c6 
Nf3 Nf6 g3 g6 c4 Bg7 d4 O-O Bg2 c6 
Nf3 c5 b3 b6 g3 Bb7 Bg2 Nf6 Bb2 e6 
Nf3 c5 c3 Nf6 d4 e6 Bg5 Be7 Nbd2 Nc6 
Nf3 c5 c4 Nc6 Nc3 Nf6 d4 cxd4 Nxd4 e6 
Nf3 c5 c4 Nc6 Nc3 Nf6 g3 d5 d4 e6 
Nf3 c5 c4 Nc6 Nc3 Nf6 g3 d6 Bg2 g6 
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6 
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 Nf6 g3 Qb6 
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 e6 g3 Bb4+ 
Nf3 c5 c4 Nc6 d4 cxd4 Nxd4 g6 e4 Nf6 
Nf3 c5 c4 Nc6 e3 e5 Nc3 Nf6 d4 cxd4 
Nf3 c5 c4 Nf6 Nc3 Nc6 d4 cxd4 Nxd4 e6 
Nf3 c5 c4 Nf6 Nc3 Nc6 g3 d5 d4 e6 
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 d4 Nxc3 
Nf3 c5 c4 Nf6 Nc3 d5 cxd5 Nxd5 e3 Nxc3 
Nf3 c5 c4 Nf6 Nc3 g6 d4 cxd4 Nxd4 Nc6 
Nf3 c5 c4 Nf6 d4 cxd4 Nxd4 g6 Nc3 Bg7 
Nf3 c5 c4 Nf6 g3 b6 Bg2 Bb7 O-O g6 
Nf3 c5 c4 b6 g3 Bb7 Bg2 g6 O-O Bg7 
Nf3 c5 c4 g6 d4 cxd4 Nxd4 Bg7 Nc3 Nc6 
Nf3 c5 c4 g6 e4 Nc6 d4 cxd4 Nxd4 Nf6 
Nf3 c5 c4 g6 g3 Bg7 Bg2 Nc6 O-O e6 
Nf3 c5 e4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 d6 
Nf3 c5 e4 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 
Nf3 c5 e4 Nc6 d4 cxd4 Nxd4 e6 Nb5 d6 
Nf3 c5 e4 d6 Nc3 Nf6 d4 cxd4 Nxd4 a6 
Nf3 c5 e4 e6 d4 cxd4 Nxd4 Nf6 Nc3 d6 
Nf3 c5 g3 Nc6 Bg2 g6 c3 Bg7 d4 cxd4 
Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 c3 d5 
Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 c3 e5 
Nf3 c5 g3 g6 Bg2 Bg7 c3 e5 O-O Ne7 
Nf3 c5 g3 g6 Bg2 Bg7 d4 cxd4 Nxd4 Nc6 
Nf3 c5 g3 g6 c3 b6 Bg2 Bb7 d4 Nf6 
Nf3 d5 b3 Nf6 Bb2 Bf5 d3 e6 g3 Nbd7 
Nf3 d5 b3 Nf6 Bb2 g6 c4 c6 e3 Bg7 
Nf3 d5 b3 Nf6 c4 d4 Ba3 g6 g3 Bg7 
Nf3 d5 b3 c5 Bb2 Nc6 e3 Bg4 Bb5 Rc8 
Nf3 d5 b4 Nf6 Bb2 Nbd7 e3 e6 a3 c5 
Nf3 d5 b4 e6 Bb2 Nf6 a3 c5 bxc5 Bxc5 
Nf3 d5 c4 c6 b3 Nf6 Bb2 Bf5 g3 e6 
Nf3 d5 c4 c6 d4 Nf6 Nc3 dxc4 a4 Bf5 
Nf3 d5 c4 c6 d4 Nf6 Nc3 e6 e3 Nbd7 
Nf3 d5 c4 c6 d4 Nf6 e3 Bf5 cxd5 cxd5 
Nf3 d5 c4 c6 e3 Bf5 cxd5 cxd5 Qb3 Qc7 
Nf3 d5 c4 c6 e3 Nf6 Nc3 Bf5 cxd5 Nxd5 
Nf3 d5 c4 c6 e3 Nf6 Nc3 a6 Qc2 g6 
Nf3 d5 c4 c6 e3 Nf6 Nc3 e6 d4 a6 
Nf3 d5 c4 d4 b4 c5 Bb2 g6 e3 Bg7 
Nf3 d5 c4 d4 b4 g6 e3 a5 b5 c5 
Nf3 d5 c4 d4 e3 Nc6 exd4 Nxd4 Nxd4 Qxd4 
Nf3 d5 c4 d4 g3 g6 d3 Bg7 Bg2 e5 
Nf3 d5 c4 dxc4 Qa4+ Nc6 Nc3 Nf6 g3 Nd5 
Nf3 d5 c4 dxc4 e3 Nf6 Bxc4 e6 O-O c5 
Nf3 d5 c4 dxc4 e3 c5 Bxc4 e6 d4 Nf6 
Nf3 d5 c4 e6 b3 Be7 Bb2 Bf6 Nc3 c5 
Nf3 d5 c4 e6 d4 Nf6 Bg5 h6 Bxf6 Qxf6 
Nf3 d5 c4 e6 d4 Nf6 Nc3 Be7 Bg5 h6 
Nf3 d5 c4 e6 d4 Nf6 Nc3 Nbd7 Bg5 Be7 
Nf3 d5 c4 e6 d4 Nf6 Nc3 c5 cxd5 Nxd5 
Nf3 d5 c4 e6 g3 Nf6 Bg2 Be7 O-O O-O 
Nf3 d5 c4 e6 g3 Nf6 Bg2 c5 cxd5 Nxd5 
Nf3 d5 c4 e6 g3 Nf6 Bg2 c6 b3 Bd6 
Nf3 d5 c4 e6 g3 Nf6 Bg2 dxc4 Qa4+ c6 
Nf3 d5 d4 Bf5 c4 e6 Nc3 c6 e3 Nd7 
Nf3 d5 d4 Nc6 c4 Bg4 cxd5 Bxf3 gxf3 Qxd5 
Nf3 d5 d4 Nf6 Bf4 Bf5 e3 c6 c4 e6 
Nf3 d5 d4 Nf6 c4 c6 Nc3 a6 c5 Nbd7 
Nf3 d5 d4 Nf6 c4 c6 Nc3 dxc4 a4 Bf5 
Nf3 d5 d4 Nf6 c4 c6 Nc3 dxc4 a4 Na6 
Nf3 d5 d4 Nf6 c4 c6 Nc3 dxc4 a4 e6 
Nf3 d5 d4 Nf6 c4 c6 Nc3 e6 Bg5 h6 
Nf3 d5 d4 Nf6 c4 c6 Nc3 e6 e3 Nbd7 
Nf3 d5 d4 Nf6 c4 c6 Nc3 e6 e3 a6 
Nf3 d5 d4 Nf6 c4 c6 Qb3 e6 Bg5 Nbd7 
Nf3 d5 d4 Nf6 c4 c6 e3 e6 Bd3 dxc4 
Nf3 d5 d4 Nf6 c4 dxc4 Nc3 a6 e4 b5 
Nf3 d5 d4 Nf6 c4 dxc4 Qa4+ Nc6 Qxc4 Bg4 
Nf3 d5 d4 Nf6 c4 dxc4 e3 e6 Bxc4 a6 
Nf3 d5 d4 Nf6 c4 dxc4 e3 e6 Bxc4 c5 
Nf3 d5 d4 Nf6 c4 e6 Bg5 Be7 Nc3 h6 
Nf3 d5 d4 Nf6 c4 e6 Nc3 Bb4 Qa4+ Nc6 
Nf3 d5 d4 Nf6 c4 e6 Nc3 Be7 Bf4 O-O 
Nf3 d5 d4 Nf6 c4 e6 Nc3 Be7 Bg5 Nbd7 
Nf3 d5 d4 Nf6 c4 e6 Nc3 Be7 Bg5 h6 
Nf3 d5 d4 Nf6 c4 e6 Nc3 Nbd7 Bg5 c6 
Nf3 d5 d4 Nf6 c4 e6 Nc3 Nbd7 cxd5 exd5 
Nf3 d5 d4 Nf6 c4 e6 Nc3 c5 cxd5 Nxd5 
Nf3 d5 d4 Nf6 c4 e6 Nc3 c6 Bg5 Nbd7 
Nf3 d5 d4 Nf6 c4 e6 Nc3 c6 cxd5 exd5 
Nf3 d5 d4 Nf6 c4 e6 Nc3 c6 e3 Nbd7 
Nf3 d5 d4 Nf6 c4 e6 Nc3 dxc4 e4 Bb4 
Nf3 d5 d4 Nf6 c4 e6 g3 dxc4 Bg2 Bb4+ 
Nf3 d5 d4 Nf6 e3 c5 c3 Nbd7 Nbd2 Qc7 
Nf3 d5 d4 Nf6 e3 c5 c4 e6 a3 Nc6 
Nf3 d5 d4 Nf6 e3 e6 Bd3 Be7 Nbd2 b6 
Nf3 d5 d4 c5 Nc3 Nc6 Bf4 cxd4 Nxd4 Nf6 
Nf3 d5 d4 c5 c3 Nc6 e3 Bg4 Nbd2 e6 
Nf3 d5 d4 c5 c3 Nc6 g3 Nf6 Bg2 e6 
Nf3 d5 d4 c5 c4 dxc4 d5 e6 Nc3 a6 
Nf3 d5 d4 c5 c4 dxc4 e3 e6 Bxc4 Nf6 
Nf3 d5 d4 c5 c4 e6 cxd5 exd5 g3 Nf6 
Nf3 d5 d4 c5 c4 e6 e3 Nf6 Nc3 Be7 
Nf3 d5 d4 c5 e3 Nf6 c4 e6 Nc3 Be7 
Nf3 d5 d4 c6 c4 Nf6 Nc3 dxc4 a4 Bf5 
Nf3 d5 d4 c6 c4 Nf6 Nc3 e6 Bg5 h6 
Nf3 d5 d4 c6 c4 dxc4 a4 c5 Nc3 cxd4 
Nf3 d5 d4 c6 c4 dxc4 e3 Be6 Nc3 Nf6 
Nf3 d5 d4 c6 c4 e6 e3 f5 Be2 Nf6 
Nf3 d5 d4 c6 e3 Bf5 Bd3 e6 O-O Nd7 
Nf3 d5 d4 e6 Bf4 c5 e3 Qb6 Qc1 Nc6 
Nf3 d5 d4 e6 c4 dxc4 Qa4+ Nc6 Qxc4 Nf6 
Nf3 d5 d4 e6 c4 dxc4 e3 c5 Bxc4 Nf6 
Nf3 d5 d4 e6 c4 dxc4 e3 c5 Bxc4 a6 
Nf3 d5 d4 e6 c4 dxc4 e4 b5 a4 c6 
Nf3 d5 e3 c5 c4 e6 Nc3 d4 exd4 cxd4 
Nf3 d5 g3 Bg4 Bg2 Nd7 O-O c6 Nc3 e5 
Nf3 d5 g3 Bg4 Bg2 Nd7 c4 e6 Qa4 c6 
Nf3 d5 g3 Nf6 Bg2 e6 O-O Be7 d4 O-O 
Nf3 d5 g3 Nf6 Bg2 e6 d4 c5 O-O Nc6 
Nf3 d5 g3 c5 Bg2 Nc6 O-O e5 c4 Nf6 
Nf3 d5 g3 c5 Bg2 Nc6 c4 d4 d3 e5 
Nf3 d5 g3 c5 Bg2 Nc6 d3 g6 O-O Bg7 
Nf3 d5 g3 c6 Bg2 Bf5 O-O e6 d3 h6 
Nf3 d5 g3 c6 Bg2 Bf5 d3 e6 O-O Nf6 
Nf3 d5 g3 g6 c4 c6 Qa4 d4 b4 Nd7 
Nf3 d5 g3 g6 d4 Bg7 Bg2 c6 c3 Nf6 
Nf3 e6 c4 d5 d4 Bb4+ Nc3 c5 cxd5 Qxd5 
Nf3 e6 c4 d5 d4 Nf6 Nc3 c6 e3 Nbd7 
Nf3 e6 c4 d5 d4 dxc4 Nc3 a6 e3 b5 
Nf3 e6 c4 f5 g3 Nc6 d4 Bb4+ Bd2 Bxd2+ 
Nf3 f5 d4 Nf6 g3 b6 Bg2 Bb7 c4 e6 
Nf3 f5 g3 Nf6 Bg2 d6 d4 g6 O-O Bg7 
Nf3 f5 g3 Nf6 Bg2 g6 O-O Bg7 d4 O-O 
Nf3 f5 g3 Nf6 Bg2 g6 b3 Bg7 Bb2 O-O 
Nf3 g6 c4 Bg7 e4 e5 d4 exd4 Nxd4 Nc6 
Nf3 g6 d4 Bg7 c4 Nf6 Nc3 d5 cxd5 Nxd5 
Nf3 g6 d4 Bg7 c4 Nf6 g3 O-O Bg2 d6 
Nf3 g6 d4 Bg7 c4 c5 d5 d6 e4 Nf6 
Nf3 g6 d4 Bg7 c4 d6 Nc3 Bg4 e3 Nf6 
Nf3 g6 d4 Bg7 e4 d6 Be2 Nf6 Nc3 O-O 
Nf3 g6 d4 Nf6 Bf4 Bg7 h3 c5 e3 b6 
Nf3 g6 e4 Bg7 d4 d6 Bc4 Nf6 Qe2 O-O 
Nf3 g6 e4 c5 d4 Bg7 c3 Qa5 b4 cxb4 
Nf3 g6 e4 d6 d4 Nf6 Nc3 c6 g3 b5 
b4 d5 Bb2 Nf6 e3 e6 a3 c5 bxc5 Bxc5 
c3 Nf6 d4 b6 Nf3 Bb7 g3 e5 dxe5 Ng4 
c4 Nf6 Nc3 c5 Nf3 Nc6 e3 e6 d4 d5 
c4 Nf6 Nc3 c5 Nf3 e6 g3 b6 Bg2 Bb7 
c4 Nf6 Nc3 c5 g3 d5 cxd5 Nxd5 Bg2 Nc7 
c4 Nf6 Nc3 c5 g3 e6 Nf3 b6 Bg2 Bb7 
c4 Nf6 Nc3 c6 e4 e5 Nf3 Qa5 d3 d5 
c4 Nf6 Nc3 d5 cxd5 Nxd5 Nf3 g6 e4 Nxc3 
c4 Nf6 Nc3 d5 cxd5 Nxd5 d4 g6 e4 Nxc3 
c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 e5 Bg2 Nb6 
c4 Nf6 Nc3 d5 cxd5 Nxd5 g3 g6 Bg2 Nb6 
c4 Nf6 Nc3 e5 Nf3 Nc6 d3 d5 cxd5 Nxd5 
c4 Nf6 Nc3 e5 Nf3 Nc6 e4 Bb4 d3 d6 
c4 Nf6 Nc3 e5 Nf3 Nc6 g3 Bb4 Bg2 O-O 
c4 Nf6 Nc3 e5 Nf3 Nc6 g3 Bb4 Nd5 e4 
c4 Nf6 Nc3 e5 Nf3 Nc6 g3 Bc5 Bg2 d6 
c4 Nf6 Nc3 e5 Nf3 Nc6 g3 Nd4 Bg2 Nxf3+ 
c4 Nf6 Nc3 e5 Nf3 Nc6 g3 d5 cxd5 Nxd5 
c4 Nf6 Nc3 e5 Nf3 Nc6 g3 g6 d4 exd4 
c4 Nf6 Nc3 e5 e3 Nc6 d4 Bb4 d5 Bxc3+ 
c4 Nf6 Nc3 e5 g3 d5 cxd5 Nxd5 Bg2 Nb6 
c4 Nf6 Nc3 e6 Nf3 Bb4 Qc2 O-O a3 Bxc3 
c4 Nf6 Nc3 e6 Nf3 Bb4 g3 O-O Bg2 d5 
c4 Nf6 Nc3 e6 e4 Nc6 f4 d5 e5 Ne4 
c4 Nf6 Nc3 e6 e4 d5 e5 Ne4 Nf3 Nc6 
c4 Nf6 Nc3 e6 e4 d5 e5 d4 exf6 dxc3 
c4 Nf6 Nc3 g6 e4 d6 d4 Bg7 Nf3 O-O 
c4 Nf6 Nc3 g6 g3 Bg7 Bg2 c5 d3 Nc6 
c4 Nf6 Nc3 g6 g3 c5 Bg2 Nc6 Nf3 d6 
c4 Nf6 Nf3 c5 Nc3 d5 cxd5 Nxd5 g3 Nxc3 
c4 Nf6 Nf3 e6 Nc3 Bb4 Qc2 c5 a3 Ba5 
c4 Nf6 Nf3 e6 Nc3 b6 d4 Bb7 Bg5 h6 
c4 Nf6 Nf3 e6 g3 a6 Nc3 d5 cxd5 exd5 
c4 Nf6 Nf3 e6 g3 d5 Bg2 dxc4 Qa4+ c6 
c4 Nf6 Nf3 e6 g3 d5 d4 Be7 Bg2 O-O 
c4 Nf6 Nf3 g6 Nc3 Bg7 e4 O-O d4 d6 
c4 Nf6 Nf3 g6 Nc3 Bg7 e4 d6 d4 O-O 
c4 Nf6 Nf3 g6 Nc3 d5 cxd5 Nxd5 Qa4+ Bd7 
c4 Nf6 Nf3 g6 Nc3 d5 cxd5 Nxd5 g3 Bg7 
c4 Nf6 a3 c5 e3 e5 d4 exd4 exd4 cxd4 
c4 Nf6 d4 c6 Bf4 g6 Nc3 Bg7 Nf3 O-O 
c4 Nf6 d4 c6 Nc3 d5 e3 g6 Nf3 Bg7 
c4 Nf6 d4 e5 dxe5 Ng4 e4 Nxe5 f4 Nec6 
c4 Nf6 d4 e6 Nc3 Bb4 Bg5 h6 Bxf6 Bxc3+ 
